Date,Stock,label,lstm_pred,lstm_prob_down,lstm_prob_up
2025-01-29,ASIANPAINT,1,-1,0.5994571,0.40054297
2025-01-30,ASIANPAINT,-1,-1,0.6015164,0.39848357
2025-01-31,ASIANPAINT,-1,-1,0.5907869,0.40921313
2025-02-01,ASIANPAINT,-1,-1,0.5813834,0.41861656
2025-02-03,ASIANPAINT,-1,-1,0.5985126,0.40148735
2025-02-04,ASIANPAINT,-1,-1,0.5882188,0.41178125
2025-02-05,ASIANPAINT,-1,-1,0.57228816,0.42771184
2025-02-10,ASIANPAINT,-1,-1,0.5128657,0.48713434
2025-02-13,ASIANPAINT,-1,1,0.4564027,0.5435973
2025-02-14,ASIANPAINT,-1,1,0.42349625,0.5765038
2025-02-17,ASIANPAINT,-1,1,0.4167311,0.5832689
2025-02-18,ASIANPAINT,-1,1,0.42429614,0.5757039
2025-02-19,ASIANPAINT,1,1,0.4370652,0.56293476
2025-02-20,ASIANPAINT,1,1,0.4408642,0.5591358
2025-02-21,ASIANPAINT,1,1,0.43526,0.56474006
2025-02-24,ASIANPAINT,1,1,0.41970372,0.5802963
2025-02-25,ASIANPAINT,1,1,0.39535302,0.6046469
2025-02-27,ASIANPAINT,1,1,0.37746745,0.6225326
2025-02-28,ASIANPAINT,1,1,0.44679597,0.55320406
2025-03-03,ASIANPAINT,1,-1,0.54850936,0.45149058
2025-03-04,ASIANPAINT,1,-1,0.6278218,0.3721783
2025-03-05,ASIANPAINT,1,-1,0.68403995,0.31596
2025-03-06,ASIANPAINT,1,-1,0.71810824,0.28189173
2025-03-07,ASIANPAINT,1,-1,0.7278226,0.27217737
2025-03-10,ASIANPAINT,1,-1,0.70922035,0.29077962
2025-03-11,ASIANPAINT,1,-1,0.66945595,0.33054402
2025-03-12,ASIANPAINT,1,-1,0.6072902,0.39270976
2025-03-13,ASIANPAINT,1,1,0.49104157,0.50895834
2025-03-17,ASIANPAINT,1,1,0.36704105,0.63295895
2025-03-18,ASIANPAINT,1,1,0.3101455,0.6898545
2025-03-19,ASIANPAINT,1,1,0.2935656,0.7064344
2025-03-20,ASIANPAINT,1,1,0.29106668,0.7089333
2025-03-21,ASIANPAINT,1,1,0.3000219,0.6999781
2025-03-24,ASIANPAINT,1,1,0.29727617,0.70272386
2025-03-25,ASIANPAINT,1,1,0.30080864,0.69919133
2025-03-26,ASIANPAINT,1,1,0.29455763,0.7054423
2025-03-27,ASIANPAINT,1,1,0.28471237,0.71528757
2025-03-28,ASIANPAINT,1,1,0.27606902,0.72393095
2025-04-01,ASIANPAINT,1,1,0.29376498,0.706235
2025-04-02,ASIANPAINT,1,1,0.30149117,0.69850886
2025-04-03,ASIANPAINT,1,1,0.31897396,0.68102604
2025-04-04,ASIANPAINT,1,1,0.34415558,0.6558444
2025-04-07,ASIANPAINT,1,1,0.3730856,0.6269144
2025-04-08,ASIANPAINT,1,1,0.41869265,0.58130735
2025-04-09,ASIANPAINT,1,-1,0.54718536,0.45281464
2025-04-11,ASIANPAINT,1,-1,0.6014872,0.39851278
2025-04-16,ASIANPAINT,-1,-1,0.62890756,0.37109244
