Stock,Prediction,Expected_Movement,Confidence,Confidence_Level,Recommendation,Last_Date,Last_Close,XAI_Factors
HDFCBANK,UP,+4.23%,87.3%,HIGH,BUY,2026-04-16,Rs.795.45,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is strongly pushing price UP | 📈 Trend strength is moderately pushing price UP | 📉 Market return this week is moderately pulling price DOWN | 📈 Return on equity is moderately pushing price UP
ITC,UP,+4.21%,87.1%,HIGH,BUY,2026-04-16,Rs.295.35,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is strongly pushing price UP | 📈 Profit growth is moderately pushing price UP | 📈 Trend strength is moderately pushing price UP | 📈 Price vs 50-day average is moderately pushing price UP
INDUSINDBK,UP,+3.96%,84.6%,HIGH,BUY,2026-04-16,Rs.847.90,📈 Market volatility is strongly pushing price UP | 📈 Trend strength is moderately pushing price UP | 📈 Distance from 52-week high is moderately pushing price UP | 📈 Return on equity is moderately pushing price UP | 📉 Profit growth is moderately pulling price DOWN
SBIN,UP,+3.94%,84.4%,HIGH,BUY,2026-04-15,Rs.1052.53,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is moderately pushing price UP | 📈 Price-to-Earnings ratio is moderately pushing price UP | 📈 Trend strength is moderately pushing price UP | 📉 Volatility vs history is moderately pulling price DOWN
RELIANCE,UP,+3.69%,81.9%,HIGH,BUY,2026-04-16,Rs.1343.30,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is strongly pushing price UP | 📈 Return on equity is moderately pushing price UP | 📉 Market return this week is moderately pulling price DOWN | 📉 Market trend (20 days) is moderately pulling price DOWN
MARUTI,UP,+3.47%,79.7%,HIGH,BUY,2026-04-13,Rs.13076.00,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is strongly pushing price UP | 📉 Market return this week is moderately pulling price DOWN | 📈 Sector return this week is moderately pushing price UP | 📈 Days since last news is moderately pushing price UP
GRASIM,UP,+3.40%,79.0%,HIGH,BUY,2026-04-16,Rs.2717.30,📈 Market volatility is strongly pushing price UP | 📈 Trend strength is moderately pushing price UP | 📈 Return on equity is moderately pushing price UP | 📈 Revenue growth is moderately pushing price UP | 📉 Market return this week is slightly pulling price DOWN
M&M,UP,+3.35%,78.5%,HIGH,BUY,2026-04-16,Rs.3222.30,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is moderately pushing price UP | 📈 Trend strength is moderately pushing price UP | 📉 Market return this week is moderately pulling price DOWN | 📈 Financials are outdated is moderately pushing price UP
HEROMOTOCO,UP,+3.32%,78.2%,HIGH,BUY,2026-04-15,Rs.5287.50,📈 Market volatility is strongly pushing price UP | 📈 Distance from 52-week high is strongly pushing price UP | 📉 Market return this week is moderately pulling price DOWN | 📉 Profit growth is moderately pulling price DOWN | 📈 Trend strength is moderately pushing price UP
COALINDIA,UP,+3.20%,77.0%,HIGH,BUY,2026-04-16,Rs.432.75,📈 Market volatility is strongly pushing price UP | 📈 Price-to-Earnings ratio is strongly pushing price UP | 📉 Trend strength is moderately pulling price DOWN | 📉 Market return this week is moderately pulling price DOWN | 📉 Return on equity is slightly pulling price DOWN
