Date,Stock,label,Predicted,prob_down,prob_up,Confidence,Return_1d
2025-01-01,ASIANPAINT,-1,1,0.40209335,0.59790665,0.59790665,0.01021314488082
2025-01-02,ASIANPAINT,-1,1,0.41854542,0.5814546,0.5814546,0.0167488437968499
2025-01-03,ASIANPAINT,-1,1,0.36505294,0.63494706,0.63494706,-0.0031154065288524
2025-01-07,ASIANPAINT,-1,1,0.48751825,0.51248175,0.51248175,0.011225627826408
2025-01-08,ASIANPAINT,-1,1,0.47536463,0.5246354,0.5246354,0.0182108049132498
2025-01-09,ASIANPAINT,-1,1,0.44451618,0.5554838,0.5554838,0.0067899136566298
2025-01-10,ASIANPAINT,-1,1,0.36898184,0.63101816,0.63101816,-0.0125309325206673
2025-01-16,ASIANPAINT,1,1,0.32099175,0.67900825,0.67900825,-0.0063236704116617
2025-01-17,ASIANPAINT,1,1,0.45325327,0.54674673,0.54674673,0.0204910313659101
2025-01-20,ASIANPAINT,1,1,0.47009683,0.5299032,0.5299032,0.0086466041496626
2025-01-21,ASIANPAINT,1,-1,0.5394477,0.46055228,0.5394477,-0.0088575056688361
2025-01-22,ASIANPAINT,1,1,0.48248732,0.5175127,0.5175127,0.0007742814532734
2025-01-27,ASIANPAINT,1,1,0.4242146,0.5757854,0.5757854,-0.0048178585709975
2025-01-28,ASIANPAINT,1,1,0.37642074,0.62357926,0.62357926,-0.0043081692450904
2025-01-29,ASIANPAINT,1,1,0.38525802,0.614742,0.614742,-0.0083193063718456
2025-01-30,ASIANPAINT,-1,1,0.441238,0.558762,0.558762,0.0120100356143983
2025-01-31,ASIANPAINT,-1,1,0.31822944,0.68177056,0.68177056,0.0226459378620675
2025-02-01,ASIANPAINT,-1,1,0.44294888,0.5570511,0.5570511,0.0218837133174563
2025-02-03,ASIANPAINT,-1,-1,0.55645275,0.44354722,0.55645275,-0.0250515303122509
2025-02-04,ASIANPAINT,-1,1,0.49556267,0.5044373,0.5044373,0.0270913363145817
2025-02-05,ASIANPAINT,-1,-1,0.5324987,0.4675013,0.5324987,-0.0336187170937815
2025-02-10,ASIANPAINT,-1,-1,0.54961276,0.45038724,0.54961276,-0.0003743500761087
2025-02-13,ASIANPAINT,-1,-1,0.6067506,0.39324936,0.6067506,0.003657614257807
2025-02-14,ASIANPAINT,-1,-1,0.5072695,0.49273047,0.5072695,-0.0022804091053493
2025-02-17,ASIANPAINT,-1,-1,0.57914424,0.4208558,0.57914424,0.0087616956155467
2025-02-18,ASIANPAINT,-1,1,0.4556914,0.5443086,0.5443086,-0.0058866584716265
2025-02-19,ASIANPAINT,1,-1,0.5876727,0.41232732,0.5876727,0.0006703228931479
2025-02-20,ASIANPAINT,1,-1,0.61310244,0.38689756,0.61310244,0.0044437831671875
2025-02-21,ASIANPAINT,1,-1,0.60394347,0.39605656,0.60394347,0.0038015420790966
2025-02-24,ASIANPAINT,1,-1,0.5602994,0.43970063,0.5602994,-0.0050495632201598
2025-02-25,ASIANPAINT,1,-1,0.5110567,0.48894328,0.5110567,-0.0095495324661142
2025-02-27,ASIANPAINT,1,1,0.49725544,0.50274456,0.50274456,-0.0049893513177744
2025-02-28,ASIANPAINT,1,1,0.49247742,0.5075226,0.5075226,-0.0153140056765609
2025-03-03,ASIANPAINT,1,1,0.2740078,0.7259922,0.7259922,-0.0061246370084401
2025-03-04,ASIANPAINT,1,1,0.3578244,0.6421756,0.6421756,-0.0158326604966172
2025-03-05,ASIANPAINT,1,-1,0.5090089,0.4909911,0.5090089,0.0150320130383236
2025-03-06,ASIANPAINT,1,-1,0.5166378,0.4833622,0.5166378,0.047848062986437
2025-03-07,ASIANPAINT,1,-1,0.63497865,0.36502132,0.63497865,0.0010142292445385
2025-03-10,ASIANPAINT,1,-1,0.63842404,0.36157596,0.63842404,0.0037886348347415
2025-03-11,ASIANPAINT,1,-1,0.63966024,0.36033973,0.63966024,0.0038618435174682
2025-03-12,ASIANPAINT,1,-1,0.62907267,0.3709273,0.62907267,-0.0157820545573493
2025-03-13,ASIANPAINT,1,-1,0.62458277,0.37541723,0.62458277,-0.0088836887236323
2025-03-17,ASIANPAINT,1,1,0.31937248,0.6806275,0.6806275,-0.0052660200583006
2025-03-18,ASIANPAINT,1,1,0.2718748,0.7281252,0.7281252,0.0
2025-03-19,ASIANPAINT,1,1,0.35052347,0.6494765,0.6494765,0.0275505276831142
2025-03-20,ASIANPAINT,1,1,0.36381733,0.63618267,0.63618267,0.0028500565142186
2025-03-21,ASIANPAINT,1,1,0.3432604,0.6567396,0.6567396,0.005771200684659
2025-03-24,ASIANPAINT,1,1,0.38948363,0.61051637,0.61051637,0.0096071006402123
2025-03-25,ASIANPAINT,1,1,0.35123503,0.64876497,0.64876497,0.0035522168761699
2025-03-26,ASIANPAINT,1,1,0.3175755,0.6824245,0.6824245,-0.003260863695834
2025-03-27,ASIANPAINT,1,1,0.3568452,0.6431548,0.6431548,0.0064353508132992
2025-03-28,ASIANPAINT,1,1,0.3508628,0.6491372,0.6491372,0.0010905036782333
2025-04-01,ASIANPAINT,1,1,0.3581279,0.6418721,0.6418721,-0.0105312122391353
2025-04-02,ASIANPAINT,1,1,0.31395793,0.6860421,0.6860421,-0.0040372016265163
2025-04-03,ASIANPAINT,1,1,0.26028115,0.73971885,0.73971885,0.0185334944817507
2025-04-04,ASIANPAINT,1,1,0.37691504,0.62308496,0.62308496,0.0028305797993364
2025-04-07,ASIANPAINT,1,1,0.3819943,0.6180057,0.6180057,-0.0062392776816885
2025-04-08,ASIANPAINT,1,1,0.42380142,0.5761986,0.5761986,0.0225724046029744
2025-04-09,ASIANPAINT,1,-1,0.5280135,0.47198647,0.5280135,0.007079473803504
2025-04-11,ASIANPAINT,1,-1,0.55026364,0.44973633,0.55026364,-0.0072786188269117
2025-04-16,ASIANPAINT,-1,-1,0.5603939,0.43960604,0.5603939,0.0182969124241212
2025-04-17,ASIANPAINT,-1,1,0.35270882,0.6472912,0.6472912,0.0032520799889086
2025-04-21,ASIANPAINT,-1,1,0.37405705,0.62594295,0.62594295,-0.0092790369760549
2025-04-22,ASIANPAINT,-1,1,0.39122307,0.6087769,0.6087769,-0.0053169735389753
2025-04-23,ASIANPAINT,-1,1,0.4355781,0.5644219,0.5644219,0.0086759800203448
2025-04-24,ASIANPAINT,-1,1,0.42775488,0.5722451,0.5722451,0.0046063956166508
2025-04-25,ASIANPAINT,-1,1,0.3462522,0.6537478,0.6537478,-0.0133094112674372
2025-04-28,ASIANPAINT,-1,1,0.39910156,0.60089844,0.60089844,0.0084716907505577
2025-04-29,ASIANPAINT,-1,-1,0.5333276,0.4666724,0.5333276,-0.0004485311284829
2025-04-30,ASIANPAINT,-1,1,0.39337867,0.6066213,0.6066213,-0.0103628288887817
2025-05-02,ASIANPAINT,-1,1,0.34159666,0.65840334,0.65840334,-0.006472255187067
2025-05-05,ASIANPAINT,-1,1,0.3619719,0.6380281,0.6380281,0.0111618251143061
2025-05-06,ASIANPAINT,-1,1,0.3633517,0.6366483,0.6366483,-0.0077557390311843
2025-05-07,ASIANPAINT,-1,1,0.32880956,0.67119044,0.67119044,-0.0346980811149369
2025-05-09,ASIANPAINT,1,1,0.32998586,0.67001414,0.67001414,-0.001302907927161
2025-05-12,ASIANPAINT,-1,1,0.35944396,0.64055604,0.64055604,0.0246998715459874
2025-05-14,ASIANPAINT,1,1,0.28069115,0.71930885,0.71930885,-0.0181967460935542
2025-05-15,ASIANPAINT,-1,1,0.36114162,0.6388584,0.6388584,0.0208561345598365
2025-05-16,ASIANPAINT,-1,1,0.39789927,0.60210073,0.60210073,0.0101721247473332
2025-05-19,ASIANPAINT,-1,1,0.34491348,0.6550865,0.6550865,-0.0094323044290173
2025-05-20,ASIANPAINT,-1,1,0.32816547,0.6718345,0.6718345,-0.0153555946940159
2025-05-21,ASIANPAINT,-1,1,0.26285273,0.7371473,0.7371473,0.0073182968385994
2025-05-22,ASIANPAINT,-1,1,0.2358641,0.7641359,0.7641359,-0.005708414324374
2025-05-23,ASIANPAINT,-1,1,0.24896705,0.75103295,0.75103295,0.0070894916843478
2025-05-26,ASIANPAINT,-1,1,0.35327297,0.646727,0.646727,0.0050528938690859
2025-05-27,ASIANPAINT,-1,1,0.20695108,0.7930489,0.7930489,0.0001719978397409
2025-05-28,ASIANPAINT,-1,1,0.22440296,0.77559704,0.77559704,-0.0104829604580081
2025-05-29,ASIANPAINT,-1,1,0.31404746,0.68595254,0.68595254,-0.0038642045760153
2025-05-30,ASIANPAINT,-1,1,0.24549234,0.75450766,0.75450766,-0.0153423140479334
2025-06-03,ASIANPAINT,1,1,0.2523194,0.7476806,0.7476806,-0.0048529203148851
2025-06-04,ASIANPAINT,1,1,0.17258888,0.8274111,0.8274111,-0.0029701499330023
2025-06-05,ASIANPAINT,1,1,0.17620605,0.82379395,0.82379395,-0.0024455018051856
2025-06-06,ASIANPAINT,1,1,0.27095878,0.7290412,0.7290412,0.0007576574218088
2025-06-09,ASIANPAINT,1,1,0.17931193,0.82068807,0.82068807,0.0012025630056842
2025-06-10,ASIANPAINT,1,1,0.16786617,0.8321338,0.8321338,-0.003793716747892
2025-06-11,ASIANPAINT,1,1,0.20220512,0.7977949,0.7977949,-0.0045517900144272
2025-06-12,ASIANPAINT,1,1,0.37161773,0.62838227,0.62838227,0.0047989919792073
2025-06-13,ASIANPAINT,1,1,0.24680316,0.75319684,0.75319684,-0.0023429743875859
2025-06-16,ASIANPAINT,1,1,0.2918797,0.7081203,0.7081203,0.0138198572736576
2025-06-17,ASIANPAINT,1,1,0.31815058,0.6818494,0.6818494,0.0089095508428687
2025-06-18,ASIANPAINT,1,1,0.3137607,0.6862393,0.6862393,0.0073294950662727
2025-06-19,ASIANPAINT,1,1,0.32172853,0.6782715,0.6782715,-0.0058736000749406
2025-06-20,ASIANPAINT,1,1,0.30161333,0.69838667,0.69838667,0.0078042084463041
2025-06-23,ASIANPAINT,1,1,0.32006598,0.679934,0.679934,-0.0094499808400796
2025-06-24,ASIANPAINT,1,1,0.28829288,0.7117071,0.7117071,0.004946808631276
2025-06-25,ASIANPAINT,1,1,0.24551564,0.75448436,0.75448436,0.0020215780431112
2025-06-26,ASIANPAINT,1,1,0.23330033,0.7666997,0.7666997,0.0043423805314461
2025-06-27,ASIANPAINT,1,1,0.4051543,0.5948457,0.5948457,0.0300898957178916
2025-06-30,ASIANPAINT,1,1,0.31103003,0.68896997,0.68896997,-0.0074616065634272
2025-07-01,ASIANPAINT,1,1,0.37084812,0.6291519,0.6291519,0.012131034600892
2025-07-03,ASIANPAINT,-1,1,0.3044476,0.6955524,0.6955524,0.0047532851849829
2025-07-04,ASIANPAINT,-1,1,0.29188687,0.70811313,0.70811313,-0.0027562374949089
2025-07-07,ASIANPAINT,-1,1,0.1927597,0.8072403,0.8072403,0.0076727472627231
2025-07-08,ASIANPAINT,-1,1,0.17702025,0.82297975,0.82297975,0.0171115095937806
2025-07-09,ASIANPAINT,-1,1,0.25882983,0.74117017,0.74117017,0.0057554012060154
2025-07-10,ASIANPAINT,-1,1,0.28617054,0.71382946,0.71382946,-0.0190884232125794
2025-07-11,ASIANPAINT,-1,1,0.31151104,0.68848896,0.68848896,-0.0048955206609426
2025-07-14,ASIANPAINT,-1,1,0.23842531,0.7615747,0.7615747,-0.0154148281847485
2025-07-18,ASIANPAINT,1,1,0.23667747,0.76332253,0.76332253,-0.0068781845074854
2025-07-21,ASIANPAINT,1,1,0.29579824,0.70420176,0.70420176,-0.0029381806865655
2025-07-22,ASIANPAINT,1,1,0.35652006,0.64347994,0.64347994,-0.0042940036813098
2025-07-23,ASIANPAINT,1,-1,0.5021112,0.4978888,0.5021112,0.004312521665216
2025-07-24,ASIANPAINT,1,-1,0.5139568,0.4860432,0.5139568,-0.0098087627362749
2025-07-25,ASIANPAINT,1,-1,0.5308285,0.4691715,0.5308285,-0.006760028651061
2025-07-28,ASIANPAINT,1,1,0.23301715,0.76698285,0.76698285,0.0100163656391076
2025-07-29,ASIANPAINT,1,1,0.22390532,0.7760947,0.7760947,0.0177571451280857
2025-07-30,ASIANPAINT,1,1,0.32931465,0.67068535,0.67068535,0.005954659789582
2025-07-31,ASIANPAINT,1,1,0.29708457,0.70291543,0.70291543,-0.0081546014868065
2025-08-01,ASIANPAINT,1,1,0.23970264,0.76029736,0.76029736,0.0145652681721943
2025-08-04,ASIANPAINT,1,1,0.23389173,0.7661083,0.7661083,0.0077334623501035
2025-08-05,ASIANPAINT,1,1,0.3297751,0.6702249,0.6702249,-0.0053065528666514
2025-08-06,ASIANPAINT,1,1,0.381927,0.618073,0.618073,0.0223243403795865
2025-08-08,ASIANPAINT,1,1,0.22349447,0.77650553,0.77650553,-0.0123279300210543
2025-08-13,ASIANPAINT,1,1,0.27682507,0.7231749,0.7231749,0.0088366411291862
2025-08-14,ASIANPAINT,1,1,0.22759748,0.7724025,0.7724025,0.0113990791659661
2025-08-18,ASIANPAINT,-1,1,0.22614384,0.77385616,0.77385616,0.0232135544313809
2025-08-19,ASIANPAINT,-1,1,0.23851794,0.76148206,0.76148206,-0.0030919126972456
2025-08-22,ASIANPAINT,1,1,0.29035777,0.70964223,0.70964223,-0.0241954107746532
2025-08-25,ASIANPAINT,1,1,0.20657247,0.7934275,0.7934275,-0.0046317056851746
