Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2025-01-01,ASIANPAINT,-1,1,0.44642013,0.55357987,0.55357987,0,2020-02-12,2024-12-31,0.01021314488082
2025-01-01,AXISBANK,-1,1,0.40717918,0.5928208,0.5928208,0,2020-02-12,2024-12-31,0.0066687138120578
2025-01-01,BAJAJ-AUTO,-1,-1,0.51056004,0.48944,0.51056004,0,2020-02-12,2024-12-31,-0.0065976508429945
2025-01-01,BAJAJFINSV,1,1,0.4633497,0.5366503,0.5366503,0,2020-02-12,2024-12-31,0.0052930698333026
2025-01-01,BAJFINANCE,1,-1,0.6217034,0.3782966,0.6217034,0,2020-02-12,2024-12-31,0.0164591300265422
2025-01-01,BPCL,-1,1,0.3502578,0.6497422,0.6497422,0,2020-02-12,2024-12-31,0.0097450251111117
2025-01-01,BRITANNIA,1,1,0.30414987,0.69585013,0.69585013,0,2020-02-12,2024-12-31,0.0067188848452166
2025-01-01,CIPLA,-1,1,0.439103,0.560897,0.560897,0,2020-02-12,2024-12-31,6.535852783540186e-05
2025-01-01,COALINDIA,-1,-1,0.61717,0.38283002,0.61717,0,2020-02-12,2024-12-31,0.0058570693203736
2025-01-01,DRREDDY,-1,-1,0.5061236,0.4938764,0.5061236,0,2020-02-12,2024-12-31,-0.0140439092350312
2025-01-01,EICHERMOT,1,-1,0.5298362,0.4701638,0.5298362,0,2020-02-12,2024-12-31,0.0131483308479098
2025-01-01,GRASIM,-1,1,0.43360394,0.56639606,0.56639606,0,2020-02-12,2024-12-31,-0.0002251973461019
2025-01-01,HCLTECH,-1,-1,0.57975054,0.42024946,0.57975054,0,2020-02-12,2024-12-31,-0.0028423637634066
2025-01-01,HDFCBANK,-1,-1,0.7271364,0.2728636,0.7271364,0,2020-02-12,2024-12-31,0.0055841461555941
2025-01-01,HEROMOTOCO,-1,1,0.45668495,0.54331505,0.54331505,0,2020-02-12,2024-12-31,0.0057083725619628
2025-01-01,HINDUNILVR,1,1,0.23747414,0.76252586,0.76252586,0,2020-02-12,2024-12-31,-0.0020414550881483
2025-01-01,ICICIBANK,-1,-1,0.70676637,0.29323363,0.70676637,0,2020-02-12,2024-12-31,0.0015605318189548
2025-01-01,INDUSINDBK,-1,1,0.46481025,0.53518975,0.53518975,0,2020-02-12,2024-12-31,0.0096339111230505
2025-01-01,INFY,1,1,0.4964488,0.5035512,0.5035512,0,2020-02-12,2024-12-31,0.0013297652758048
2025-01-01,ITC,-1,-1,0.6126391,0.38736087,0.6126391,0,2020-02-12,2024-12-31,0.0006203087594849
2025-01-01,LT,-1,-1,0.60713243,0.39286754,0.60713243,0,2020-02-12,2024-12-31,0.0165898119138041
2025-01-01,M&M,-1,1,0.40384108,0.5961589,0.5961589,0,2020-02-12,2024-12-31,0.0249076963795635
2025-01-01,MARUTI,1,1,0.43265933,0.5673407,0.5673407,0,2020-02-12,2024-12-31,0.0322238883921692
2025-01-01,NESTLEIND,1,1,0.32216507,0.6778349,0.6778349,0,2020-02-12,2024-12-31,-0.000368551660563
2025-01-01,NTPC,-1,-1,0.56079966,0.43920034,0.56079966,0,2020-02-12,2024-12-31,0.0009000018750038
2025-01-01,ONGC,1,1,0.41154426,0.58845574,0.58845574,0,2020-02-12,2024-12-31,-0.0096132979074632
2025-01-01,POWERGRID,-1,-1,0.50651574,0.49348423,0.50651574,0,2020-02-12,2024-12-31,0.005506962482443
2025-01-01,RELIANCE,1,1,0.34143156,0.65856844,0.65856844,0,2020-02-12,2024-12-31,0.004771936716607
2025-01-01,SBIN,-1,-1,0.58747965,0.41252035,0.58747965,0,2020-02-12,2024-12-31,-0.0022013214466706
2025-01-01,SUNPHARMA,-1,-1,0.519078,0.480922,0.519078,0,2020-02-12,2024-12-31,0.0019084623112222
2025-01-01,TATASTEEL,-1,-1,0.57941526,0.42058474,0.57941526,0,2020-02-12,2024-12-31,-0.0094892403246396
2025-01-01,TCS,1,1,0.4428969,0.5571031,0.5571031,0,2020-02-12,2024-12-31,0.0043104148089807
2025-01-01,TECHM,-1,-1,0.69251597,0.30748403,0.69251597,0,2020-02-12,2024-12-31,-0.0013774135102688
2025-01-01,TITAN,1,-1,0.505275,0.49472496,0.505275,0,2020-02-12,2024-12-31,0.0002152816716034
2025-01-01,ULTRACEMCO,-1,-1,0.5662614,0.43373856,0.5662614,0,2020-02-12,2024-12-31,0.0018071911448664
2025-01-01,WIPRO,-1,-1,0.59627223,0.4037278,0.59627223,0,2020-02-12,2024-12-31,-0.0051350059734579
2025-01-02,ASIANPAINT,-1,1,0.45124918,0.5487508,0.5487508,0,2020-02-12,2024-12-31,0.0167488437968499
2025-01-02,AXISBANK,-1,1,0.37447107,0.62552893,0.62552893,0,2020-02-12,2024-12-31,0.0138084229362285
2025-01-02,BAJAJ-AUTO,-1,-1,0.601108,0.398892,0.601108,0,2020-02-12,2024-12-31,0.03877905757219
2025-01-02,BAJFINANCE,-1,-1,0.6291336,0.37086642,0.6291336,0,2020-02-12,2024-12-31,0.0654476817373279
2025-01-02,BHARTIARTL,1,1,0.34082764,0.65917236,0.65917236,0,2020-02-12,2024-12-31,0.0087735659847574
2025-01-02,BPCL,-1,1,0.3546124,0.6453876,0.6453876,0,2020-02-12,2024-12-31,0.0054182671627769
2025-01-02,BRITANNIA,1,1,0.2850275,0.7149725,0.7149725,0,2020-02-12,2024-12-31,-0.0014495555693575
2025-01-02,CIPLA,-1,1,0.40926003,0.59073997,0.59073997,0,2020-02-12,2024-12-31,0.005755047406041
2025-01-02,COALINDIA,-1,-1,0.547678,0.45232198,0.547678,0,2020-02-12,2024-12-31,0.0169514700403823
2025-01-02,DRREDDY,-1,1,0.46932817,0.53067183,0.53067183,0,2020-02-12,2024-12-31,0.0044193511046584
2025-01-02,EICHERMOT,-1,1,0.4413287,0.5586713,0.5586713,0,2020-02-12,2024-12-31,0.0865454094821891
2025-01-02,GRASIM,-1,1,0.4345855,0.5654145,0.5654145,0,2020-02-12,2024-12-31,0.0416845385208817
2025-01-02,HCLTECH,-1,1,0.4303229,0.5696771,0.5696771,0,2020-02-12,2024-12-31,0.0315122776030833
2025-01-02,HDFCBANK,-1,-1,0.6746075,0.32539248,0.6746075,0,2020-02-12,2024-12-31,0.0061702983181806
2025-01-02,HEROMOTOCO,-1,-1,0.51338196,0.48661804,0.51338196,0,2020-02-12,2024-12-31,0.0303869600518011
