Date,Stock,label,Predicted,prob_down,prob_up,Confidence,Return_1d
2025-01-01,ASIANPAINT,-1,1,0.41100156,0.58899844,0.58899844,0.01021314488082
2025-01-02,ASIANPAINT,-1,1,0.39559537,0.6044046,0.6044046,0.0167488437968499
2025-01-03,ASIANPAINT,-1,1,0.3013639,0.6986361,0.6986361,-0.0031154065288524
2025-01-07,ASIANPAINT,-1,1,0.44907558,0.5509244,0.5509244,0.0112255177552229
2025-01-08,ASIANPAINT,-1,1,0.46239924,0.53760076,0.53760076,0.0182108049132498
2025-01-09,ASIANPAINT,-1,1,0.43881637,0.56118363,0.56118363,0.0067899136566298
2025-01-10,ASIANPAINT,-1,1,0.36254704,0.63745296,0.63745296,-0.0125308275178391
2025-01-16,ASIANPAINT,1,1,0.3593189,0.6406811,0.6406811,-0.0063236704116617
2025-01-17,ASIANPAINT,1,1,0.44527876,0.55472124,0.55472124,0.0204910313659101
2025-01-20,ASIANPAINT,1,1,0.45935464,0.54064536,0.54064536,0.0086466041496626
2025-01-21,ASIANPAINT,1,-1,0.5215187,0.47848132,0.5215187,-0.0088575056688361
2025-01-22,ASIANPAINT,1,1,0.48824775,0.51175225,0.51175225,0.0007741722765315
2025-01-27,ASIANPAINT,1,1,0.3947649,0.6052351,0.6052351,-0.0048177494931698
2025-01-28,ASIANPAINT,1,1,0.3661818,0.6338182,0.6338182,-0.0043082783787712
2025-01-29,ASIANPAINT,1,1,0.37120354,0.62879646,0.62879646,-0.0083191962917084
2025-01-30,ASIANPAINT,-1,1,0.46688396,0.53311604,0.53311604,0.0120099232776431
2025-01-31,ASIANPAINT,-1,1,0.33954138,0.6604586,0.6604586,0.0226460475483416
2025-02-01,ASIANPAINT,-1,1,0.46663404,0.53336596,0.53336596,0.0218836037129481
2025-02-03,ASIANPAINT,-1,-1,0.52889097,0.47110903,0.52889097,-0.0250515303122509
2025-02-04,ASIANPAINT,-1,1,0.4479372,0.5520628,0.5520628,0.0270913363145817
2025-02-05,ASIANPAINT,-1,1,0.44086432,0.5591357,0.5591357,-0.0336187170937815
2025-02-10,ASIANPAINT,-1,-1,0.5408882,0.4591118,0.5408882,-0.0003742414113552
2025-02-13,ASIANPAINT,-1,-1,0.54722905,0.45277095,0.54722905,0.0036575035082684
2025-02-14,ASIANPAINT,-1,1,0.47697783,0.5230222,0.5230222,-0.0022802990110354
2025-02-17,ASIANPAINT,-1,-1,0.58565134,0.41434866,0.58565134,0.0087616956155467
2025-02-18,ASIANPAINT,-1,1,0.495328,0.504672,0.504672,-0.0058867681091604
2025-02-19,ASIANPAINT,1,-1,0.5679442,0.43205577,0.5679442,0.0006704332538423
2025-02-20,ASIANPAINT,1,-1,0.60989296,0.39010704,0.60989296,0.0044436729543113
2025-02-21,ASIANPAINT,1,-1,0.5490345,0.45096555,0.5490345,0.0038017619468075
2025-02-24,ASIANPAINT,1,-1,0.5720122,0.4279878,0.5720122,-0.0050497812876401
2025-02-25,ASIANPAINT,1,-1,0.5413569,0.4586431,0.5413569,-0.0095494236507538
